id,barId,date,paid,rev,id,taxId,name,address,city,state,zip,countyId,lat,lng
7251,555,"2014-06-00 00:00:00",7766.57,115918.95522388059,555,MB180777,"RON'S PUB                     ","1826 FOUNTAIN VIEW DR         ","HOUSTON             ",TX,77057,101,29.748609,-95.4864737
7281,557,"2014-06-00 00:00:00",1796.8,26817.91044776119,557,MB181003,"T K BITTERMAN'S               ","2010 W ALABAMA ST             ","HOUSTON             ",TX,77098,101,29.7387933,-95.4086238
7340,561,"2014-06-00 00:00:00",488.89,7296.86567164179,561,MB182711,"ICE CREAM CASTLES             ","7309 FULTON ST                ","HOUSTON             ",TX,77022,101,29.827736,-95.3766361
7526,576,"2014-06-00 00:00:00",1631.98,24357.910447761195,576,MB184962,"TYMES SQUARE                  ","4620 W FUQUA                  ","HOUSTON             ",TX,77045,101,29.613704,-95.448117
7541,577,"2014-06-00 00:00:00",1431.58,21366.86567164179,577,MB185359,"LA HACIENDA                   ","14759 MEMORIAL DR             ","HOUSTON             ",TX,77079,101,29.7705412,-95.611425
7629,583,"2014-06-00 00:00:00",1695.5,25305.97014925373,583,MB186261,"MOLLY MAGUIRE'S               ","15945 KUYKENDAHL RD           ","HOUSTON             ",TX,77068,101,30.009189,-95.466077
7674,586,"2014-06-00 00:00:00",4310.17,64330.895522388055,586,MB186575,"CIRO'S ITALIAN GRILL          ","9755 KATY FWY                 ","HOUSTON             ",TX,77024,101,29.7833444,-95.533797
7779,593,"2014-06-00 00:00:00",14371.96,214506.86567164178,593,MB187663,"CARRABBA'S                    ","3115 KIRBY DR                 ","HOUSTON             ",TX,77098,101,29.7367144,-95.418308
7928,603,"2014-06-00 00:00:00",2140.65,31950,603,MB189075,"MIYAKO II                     ","3910 KIRBY DR                 ","HOUSTON             ",TX,77098,101,29.73223,-95.4193774
7971,606,"2014-06-00 00:00:00",2125.77,31727.91044776119,606,MB189416,"THE OLIVE GARDEN ITALIAN RESTA","9750 KATY FWY                 ","HOUSTON             ",TX,77055,101,29.786215,-95.5357307
